Právě:	This is of
z:	the of cautious
toho:	the of to
důvodu:	the State in
se:	the . ,
ministryně:	Secretary of State
zahraničí:	Secretary of State
Condoleezza:	was ' their
Riceová:	Rice was her
vyjádřila:	was ' their
ve:	the in acceptance
své:	of to .
reakci:	reaction to that
na:	the to .
nejednoznačný:	was ' their
souhlas:	of to conference
Saúdů:	was ' their
s:	acceptance , with
účastí:	was ' their
konferenci:	was ' conference
tak:	the to .
obezřetně:	was ' their
.:	the Saudis .
Osu:	would be American
Sýrie:	Syria axis with
-:	- , likely
Írán:	Iran be American
Hamás:	Iran Hamas Hezbollah
Hizballáh:	to Iran Hezbollah
by:	. would ,
povzbudil:	would be American
v:	the in .
napadání:	to - be
americké:	The a 's
vůdčí:	the leadership ,
úlohy:	the be and
regionu:	, with a
a:	and Intifada scenario
poněvadž:	- and a
palestinský:	be region Palestinian
prezident:	challenge President likely
Mahmúd:	its Palestinian Mahmoud
Abbás:	in Mahmoud Abbas
byl:	was axis challenge
pokořen:	humbled it looks
poražen:	would be American
,:	the . ,
pravděpodobným:	would be American
scénářem:	would be American
byla:	was to a
třetí:	its with third
intifáda:	would be American
Je:	is the of
tedy:	to . ,
nesmírně:	the of to
důležité:	It important talk
válečné:	is an war
rovnice:	therefore an such
odebrat:	therefore an such
Sýrii:	of Syria Iran
spojence:	is take an
Íránu:	Syria as out
podporovatele:	therefore an such
záškodníků:	therefore an such
jako:	the , as
jsou:	. Hezbollah are
To:	. But course
ale:	. change but
vyžaduje:	this requires both
aby:	to United change
Izrael:	this that Israel
i:	. , and
Spojené:	the both United
státy:	the United States
změnily:	this that both
kurz:	this both exchange
Loni:	to Russia his
ruský:	the to '
patriarcha:	's Patriarch by
Aleksej:	to Russia his
požehnal:	to Russia his
moskevské:	to Russia his
návštěvě:	to Russia his
dívčího:	to Russia his
katolického:	to Russia his
sboru:	to , a
kláštera:	to Russia his
sv:	of to ,
Danilova:	to Russia his
Nedlouho:	of , on
poté:	to 's after
došlo:	the of Pope
k:	to Soon Assad
čemusi:	an more on
dalece:	an more on
významnějšímu:	an more on
::	raised level :
zvedl:	an more on
úroveň:	of in representation
zastoupení:	, and 's
pravoslavné:	an more on
církve:	an more on
při:	the of ,
ekumenické:	an more on
bohoslužbě:	an more on
svolané:	an more on
papežem:	and Pope on
Janem:	an more on
Pavlem:	an more on
II:	John Paul II
24:	by more 24
ledna:	's at January
do:	the of to
Assisi:	an more on
Po:	. , After
ní:	to and for
měl:	to a should
Moskvy:	was senior last
zavítat:	was senior last
vysoký:	to be Council
vatikánský:	was senior last
duchovní:	This President by
předseda:	of a by
Pontifikální:	was senior last
rady:	by Council who
pro:	the for man
šíření:	to a 's
křesťanské:	was senior last
jednoty:	to and a
kardinál:	was senior last
Walter:	was senior last
Kasper:	was senior last
který:	the of a
loňském:	a year senior
roce:	. , Vatican
významně:	to a 's
pomáhal:	who helped organize
organizaci:	was senior last
papežské:	was senior last
cesty:	to President visit
Ukrajinu:	was senior Ukraine
Kazachstánu:	was and senior
